Ticker,Link,Labels
ABBV,https://seekingalpha.com/article/1774302-abbvies-ceo-discusses-q3-2013-results-earnings-call-transcript?part=single,[]
ACN,https://seekingalpha.com/article/4083306-accentures-acn-ceo-pierre-nanterme-q3-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.52 <span class=""""> </span></div>\n<div>Revenue of $8.87B (+ 5.2% Y/Y) <span class=""green""> beats by $40M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/4057500-accentures-acn-ceo-pierre-nanterme-q2-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.33 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $8.32B (+ 4.7% Y/Y) <span class=""red""> misses by $-20M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/4032012-accentures-acn-ceo-pierre-nanterme-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.58 <span class=""green"">beats by $0.09</span></div>\n<div>Revenue of $8.52B (+ 6.4% Y/Y) <span class=""red""> misses by $-70M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/4009254-accenture-plc-acn-ceo-pierre-nanterme-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.31 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $8.49B (+ 7.6% Y/Y) <span class=""green""> beats by $60M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3983958-accentures-acn-ceo-pierre-nanterme-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.41 <span class=""""> </span></div>\n<div>Revenue of $8.43B (+ 8.5% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3958736-accentures-acn-ceo-pierre-nanterme-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.34 <span class=""green"">beats by $0.16</span></div>\n<div>Revenue of $7.95B (+ 6.1% Y/Y) <span class=""green""> beats by $230M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3762996-accentures-acn-ceo-pierre-nanterme-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.28 <span class=""red"">misses by $-0.04</span></div>\n<div>Revenue of $8.01B (+ 1.4% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3531246-accentures-acn-ceo-pierre-nanterme-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.15 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $7.89B (+ 1.4% Y/Y) <span class=""green""> beats by $210M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3283865-accentures-acn-ceo-pierre-nanterme-on-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.3 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $7.77B (+ 0.4% Y/Y) <span class=""green""> beats by $220M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3031196-accentures-acn-ceo-pierre-nanterme-on-q2-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.08 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $7.5B (+ 5.2% Y/Y) <span class=""green""> beats by $120M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/2766875-accentures-acn-ceo-pierre-nanterme-on-q1-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.29 <span class=""green"">beats by $0.09</span></div>\n<div>Revenue of $7.9B (+ 7.3% Y/Y) <span class=""green""> beats by $210M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/2518515-accentures-acn-ceo-pierre-nanterme-on-q4-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.08 <span class=""red"">misses by $-0.02</span></div>\n<div>Revenue of $7.8B (+ 10.0% Y/Y) <span class=""green""> beats by $180M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/2288353-accentures-acn-ceo-pierre-nanterme-on-q3-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.26 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $7.74B (+ 7.5% Y/Y) <span class=""green""> beats by $190M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/4069383-activision-blizzard-atvi-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.56 <span class=""green"">beats by $0.28</span></div>\n<div>Revenue of $1.73B (+ 18.5% Y/Y) <span class=""green""> beats by $640M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/4044638-activision-blizzard-atvi-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.33 <span class=""green"">beats by $0.26</span></div>\n<div>Revenue of $2.45B (+ 15.6% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/4019333-activision-blizzard-atvi-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.49 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $1.57B (+ 51.0% Y/Y) <span class=""""> </span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/3996088-activision-blizzard-atvi-robert-kotick-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.45 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $1.61B (+ 112.1% Y/Y) <span class=""green""> beats by $150M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/3972096-activision-blizzard-atvi-robert-kotick-q1-2016-results-earnings-call-transcript?part=single,[]
ATVI,https://seekingalpha.com/article/3890016-activision-blizzard-atvi-robert-kotick-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.83 <span class=""red"">misses by $-0.03</span></div>\n<div>Revenue of $2.12B (- 4.1% Y/Y) <span class=""red""> misses by $-80M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/3642256-activision-blizzard-atvi-robert-kotick-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.21 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $1.04B (- 11.1% Y/Y) <span class=""green""> beats by $88.27M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/3399085-activision-blizzard-atvi-robert-a-kotick-on-q2-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.13 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $759M (+ 15.3% Y/Y) <span class=""green""> beats by $93.47M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/3150306-activision-blizzard-atvi-robert-a-kotick-on-q1-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.16 <span class=""green"">beats by $0.09</span></div>\n<div>Revenue of $703M (- 8.9% Y/Y) <span class=""green""> beats by $47.64M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/2891046-activision-blizzard-atvi-q4-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.94 <span class=""green"">beats by $0.06</span></div>\n<div>Revenue of $2.21B (- 2.6% Y/Y) <span class=""red""> misses by $-30M</span></div>\n</div>]"
ATVI,https://seekingalpha.com/article/2639615-activision-blizzards-atvi-ceo-michael-morhaime-on-q3-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.23 <span class=""green"">beats by $0.10</span></div>\n<div>Revenue of $1.17B (+ 78.1% Y/Y) <span class=""green""> beats by $160M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/4084888-acuity-brands-ayi-ceo-vern-nagel-q3-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.15 <span class=""green"">beats by $0.12</span></div>\n<div>Revenue of $891.6M (+ 4.7% Y/Y) <span class=""green""> beats by $12.41M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/4060192-acuity-brands-ayi-ceo-vern-nagel-q2-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.77 <span class=""red"">misses by $-0.06</span></div>\n<div>Revenue of $804.7M (+ 3.5% Y/Y) <span class=""red""> misses by $-23.4M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/4035304-acuity-brands-ayi-ceo-vernon-nagel-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2 <span class=""red"">misses by $-0.16</span></div>\n<div>Revenue of $851.2M (+ 15.6% Y/Y) <span class=""red""> misses by $-43.74M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/4010375-acuity-brands-ayi-ceo-vernon-nagel-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.21 <span class=""red"">misses by $-0.06</span></div>\n<div>Revenue of $925.5M (+ 21.9% Y/Y) <span class=""red""> misses by $-22.76M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/3985299-acuity-brands-ayi-ceo-vernon-nagel-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.06 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $851.5M (+ 24.5% Y/Y) <span class=""green""> beats by $3.71M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/3958705-acuity-brands-ayi-ceo-vernon-nagel-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.8 <span class=""green"">beats by $0.29</span></div>\n<div>Revenue of $777.8M (+ 26.2% Y/Y) <span class=""green""> beats by $25.54M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/3799246-acuity-brands-ayi-ceo-vern-nagel-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.65 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $736.6M (+ 13.8% Y/Y) <span class=""red""> misses by $-3.71M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/3557066-acuity-brands-ayi-ceo-vern-nagel-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.63 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $759.5M (+ 13.6% Y/Y) <span class=""green""> beats by $4.65M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/3297675-acuity-brands-ayi-ceo-vern-nagel-on-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.37 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $683.7M (+ 13.2% Y/Y) <span class=""red""> misses by $-2.77M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/3046056-acuity-brands-ayi-ceo-vern-nagel-on-q2-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.07 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $616.1M (+ 12.8% Y/Y) <span class=""red""> misses by $-11.85M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/2810185-acuity-brands-ayi-ceo-vern-nagel-on-q1-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.32 <span class=""""> </span></div>\n<div>Revenue of $647.4M (+ 12.7% Y/Y) <span class=""green""> beats by $8.02M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/2534655-acuity-brands-ayi-ceo-vern-nagel-on-q4-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.26 <span class=""green"">beats by $0.04</span></div>\n<div>Revenue of $668.7M (+ 15.3% Y/Y) <span class=""green""> beats by $19.48M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/2295745-acuity-brands-ayi-ceo-vernon-nagel-on-q3-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1 <span class=""red"">misses by $-0.12</span></div>\n<div>Revenue of $603.9M (+ 11.5% Y/Y) <span class=""red""> misses by $-5.19M</span></div>\n</div>]"
AYI,https://seekingalpha.com/article/2122663-acuity-brands-ceo-discusses-f2q-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.75 <span class=""red"">misses by $-0.08</span></div>\n<div>Revenue of $546.2M (+ 12.2% Y/Y) <span class=""red""> misses by $-7.75M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/4082785-adobe-systems-adbe-ceo-shantanu-narayen-q2-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.02 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $1.77B (+ 26.4% Y/Y) <span class=""green""> beats by $40M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/4055984-adobe-systems-adbe-ceo-shantanu-narayen-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.94 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $1.68B (+ 21.7% Y/Y) <span class=""green""> beats by $30M</span></div>\n</div>]"
